Luke 1:12	ἐταράχθη	V-API-3S	V-API-3S	5015&5681	ταράσσω	ἐταράχθη	
Luke 1:12	Ζαχαρίας	N-NSM	N-NSM	2197	Ζαχαρίας	Ζαχαρίας	
Luke 1:12	ἰδών,	V-2AAP-NSM	V-2AAP-NSM	3708&5631	ὁράω	ἰδών	
Luke 1:12	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:12	φόβος	N-NSM	N-NSM	5401	φόβος	φόβος	
Luke 1:12	ἐπέπεσεν	V-2AAI-3S	V-2AAI-3S	1968&5627	ἐπιπίπτω	ἐπέπεσεν	
Luke 1:12	ἐπ’	PREP	PREP	1909	ἐπί	ἐπ’	
Luke 1:12	αὐτόν.	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Luke 1:13	εἶπεν	V-2AAI-3S	V-2AAI-3S	3004&5627	λέγω	εἶπεν	
Luke 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Luke 1:13	πρὸς	PREP	PREP	4314	πρός	πρός	
Luke 1:13	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Luke 1:13	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Luke 1:13	ἄγγελος	N-NSM	N-NSM	32	ἄγγελος	ἄγγελος	
Luke 1:13	Μὴ	PRT-N	PRT-N	3361	μή	Μή	
Luke 1:13	φοβοῦ,	V-PNM-2S	V-PNM-2S	5399&5737	φοβέω	φοβοῦ	
Luke 1:13	Ζαχαρία,	N-VSM	N-VSM	2197	Ζαχαρίας	Ζαχαρία	
Luke 1:13	διότι	CONJ	CONJ	1360	διότι	διότι	
Luke 1:13	εἰσηκούσθη	V-API-3S	V-API-3S	1522&5681	εἰσακούω	εἰσηκούσθη	
Luke 1:13	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
Luke 1:13	δέησίς	N-NSF	N-NSF	1162	δέησις	δέησις	
Luke 1:13	σου,	P-2GS	P-2GS	4771	σύ	σου	
Luke 1:13	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:13	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
Luke 1:13	γυνή	N-NSF	N-NSF	1135	γυνή	γυνή	
Luke 1:13	σου	P-2GS	P-2GS	4771	σύ	σου	
Luke 1:13	Ἐλεισάβετ	N-PRI	N-PRI	1665	Ἐλισάβετ	Ἐλεισάβετ	
Luke 1:13	γεννήσει	V-FAI-3S	V-FAI-3S	1080&5692	γεννάω	γεννήσει	
Luke 1:13	υἱόν	N-ASM	N-ASM	5207	υἱός	υἱόν	
Luke 1:13	σοι,	P-2DS	P-2DS	4771	σύ	σοι	
Luke 1:13	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:13	καλέσεις	V-FAI-2S	V-FAI-2S	2564&5692	καλέω	καλέσεις	
Luke 1:13	τὸ	T-ASN	T-ASN	3588	ὁ	τό	
Luke 1:13	ὄνομα	N-ASN	N-ASN	3686	ὄνομα	ὄνομα	
Luke 1:13	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Luke 1:13	Ἰωάνην·	N-ASM	N-ASM	2491	Ἰωάννης	Ἰωάνην	
Luke 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:14	ἔσται	V-FDI-3S	V-FDI-3S	1510&5695	εἰμί	ἔσται	
Luke 1:14	χαρά	N-NSF	N-NSF	5479	χαρά	χαρά	
Luke 1:14	σοι	P-2DS	P-2DS	4771	σύ	σοι	
Luke 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:14	ἀγαλλίασις,	N-NSF	N-NSF	20	ἀγαλλίασις	ἀγαλλίασις	
Luke 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
Luke 1:14	πολλοὶ	A-NPM	A-NPM	4183	πολύς	πολλοί	
Luke 1:14	ἐπὶ	PREP	PREP	1909	ἐπί	ἐπί	
Luke 1:14	τῇ	T-DSF	T-DSF	3588	ὁ	τῇ	
Luke 1:14	γενέσει	N-DSF	N-DSF	1078	γένεσις	γενέσει	
